collection_name,month,day,year,count,time
Bored Ape Yacht Club,5,20,2021,1077,5/20/2021
Bored Ape Yacht Club,5,20,2022,2847,5/20/2022
Bored Ape Yacht Club,5,21,2021,2331,5/21/2021
Bored Ape Yacht Club,5,21,2022,943,5/21/2022
Bored Ape Yacht Club,5,22,2021,2604,5/22/2021
Bored Ape Yacht Club,5,22,2022,1826,5/22/2022
Bored Ape Yacht Club,5,23,2021,2103,5/23/2021
Bored Ape Yacht Club,5,23,2022,465,5/23/2022
Bored Ape Yacht Club,5,24,2021,2423,5/24/2021
Bored Ape Yacht Club,5,24,2022,2894,5/24/2022
Bored Ape Yacht Club,5,25,2021,2816,5/25/2021
Bored Ape Yacht Club,5,25,2022,1370,5/25/2022
Bored Ape Yacht Club,5,26,2021,2175,5/26/2021
Bored Ape Yacht Club,5,26,2022,1822,5/26/2022
Bored Ape Yacht Club,5,27,2021,1934,5/27/2021
Bored Ape Yacht Club,5,27,2022,592,5/27/2022
Bored Ape Yacht Club,5,28,2021,1351,5/28/2021
Bored Ape Yacht Club,5,28,2022,492,5/28/2022
Bored Ape Yacht Club,5,29,2021,1352,5/29/2021
Bored Ape Yacht Club,5,29,2022,2289,5/29/2022
Bored Ape Yacht Club,5,30,2021,3505,5/30/2021
Bored Ape Yacht Club,5,30,2022,2319,5/30/2022
Bored Ape Yacht Club,5,31,2021,4789,5/31/2021
Bored Ape Yacht Club,5,31,2022,1878,5/31/2022
Bored Ape Yacht Club,6,1,2021,5740,6/1/2021
Bored Ape Yacht Club,6,1,2022,3753,6/1/2022
Bored Ape Yacht Club,6,2,2021,8490,6/2/2021
Bored Ape Yacht Club,6,2,2022,986,6/2/2022
Bored Ape Yacht Club,6,3,2021,6553,6/3/2021
Bored Ape Yacht Club,6,3,2022,2211,6/3/2022
Bored Ape Yacht Club,6,4,2021,4159,6/4/2021
Bored Ape Yacht Club,6,4,2022,633,6/4/2022
Bored Ape Yacht Club,6,5,2021,4415,6/5/2021
Bored Ape Yacht Club,6,5,2022,3311,6/5/2022
Bored Ape Yacht Club,6,6,2021,4010,6/6/2021
Bored Ape Yacht Club,6,6,2022,2463,6/6/2022
Bored Ape Yacht Club,6,7,2021,6882,6/7/2021
Bored Ape Yacht Club,6,7,2022,2199,6/7/2022
Bored Ape Yacht Club,6,8,2021,6178,6/8/2021
Bored Ape Yacht Club,6,8,2022,2585,6/8/2022
Bored Ape Yacht Club,6,9,2021,4351,6/9/2021
Bored Ape Yacht Club,6,9,2022,5691,6/9/2022
Bored Ape Yacht Club,6,10,2021,2844,6/10/2021
Bored Ape Yacht Club,6,10,2022,622,6/10/2022
Bored Ape Yacht Club,6,11,2021,2046,6/11/2021
Bored Ape Yacht Club,6,11,2022,422,6/11/2022
Bored Ape Yacht Club,6,12,2021,2114,6/12/2021
Bored Ape Yacht Club,6,12,2022,378,6/12/2022
Bored Ape Yacht Club,6,13,2021,2219,6/13/2021
Bored Ape Yacht Club,6,13,2022,1580,6/13/2022
Bored Ape Yacht Club,6,14,2021,2209,6/14/2021
Bored Ape Yacht Club,6,14,2022,1259,6/14/2022
Bored Ape Yacht Club,6,15,2021,2707,6/15/2021
Bored Ape Yacht Club,6,15,2022,1173,6/15/2022
Bored Ape Yacht Club,6,16,2021,2451,6/16/2021
