collection_name,count,time
Crypto Coven,545,1/8/22
Crypto Coven,1100,1/9/22
Crypto Coven,767,1/10/22
Crypto Coven,1291,1/11/22
Crypto Coven,1164,1/12/22
Crypto Coven,1187,1/13/22
Crypto Coven,1192,1/14/22
Crypto Coven,964,1/15/22
Crypto Coven,834,1/16/22
Crypto Coven,1949,1/17/22
Crypto Coven,1496,1/18/22
Crypto Coven,2187,1/19/22
Crypto Coven,4699,1/20/22
Crypto Coven,2198,1/21/22
Crypto Coven,2126,1/22/22
Crypto Coven,2171,1/23/22
Crypto Coven,2186,1/24/22
Crypto Coven,3506,1/25/22
Crypto Coven,2756,1/26/22
Crypto Coven,2262,1/27/22
Crypto Coven,2007,1/28/22
Crypto Coven,1215,1/29/22
Crypto Coven,1438,1/30/22
Crypto Coven,1334,1/31/22
Crypto Coven,1324,2/1/22
Crypto Coven,1195,2/2/22
Crypto Coven,1544,2/3/22
Crypto Coven,1675,2/4/22
Crypto Coven,1522,2/5/22
Crypto Coven,1328,2/6/22
Crypto Coven,992,2/7/22
Crypto Coven,1185,2/8/22
Crypto Coven,1526,2/9/22
Crypto Coven,1110,2/10/22
Crypto Coven,1247,2/11/22
Crypto Coven,571,2/12/22
Crypto Coven,600,2/13/22
Crypto Coven,606,2/14/22
Crypto Coven,839,2/15/22
Crypto Coven,1056,2/16/22
Crypto Coven,870,2/17/22
Crypto Coven,736,2/18/22
Crypto Coven,714,2/19/22
Crypto Coven,537,2/20/22
Crypto Coven,661,2/21/22
Crypto Coven,800,2/22/22
Crypto Coven,913,2/23/22
Crypto Coven,749,2/24/22
Crypto Coven,520,2/25/22
Crypto Coven,499,2/26/22
Crypto Coven,390,2/27/22
Crypto Coven,410,2/28/22
Crypto Coven,555,3/1/22
Crypto Coven,571,3/2/22
Crypto Coven,734,3/3/22
Crypto Coven,858,3/4/22
Crypto Coven,675,3/5/22
Crypto Coven,649,3/6/22
Crypto Coven,855,3/7/22
Crypto Coven,732,3/8/22
Crypto Coven,593,3/9/22
Crypto Coven,645,3/10/22
Crypto Coven,578,3/11/22
Crypto Coven,594,3/12/22
Crypto Coven,623,3/13/22
Crypto Coven,652,3/14/22
Crypto Coven,946,3/15/22
Crypto Coven,705,3/16/22
Crypto Coven,618,3/17/22
Crypto Coven,583,3/18/22
Crypto Coven,604,3/19/22
Crypto Coven,535,3/20/22
Crypto Coven,586,3/21/22
Crypto Coven,627,3/22/22
Crypto Coven,603,3/23/22
Crypto Coven,583,3/24/22
Crypto Coven,684,3/25/22
Crypto Coven,657,3/26/22
Crypto Coven,727,3/27/22
Crypto Coven,810,3/28/22
Crypto Coven,766,3/29/22
Crypto Coven,583,3/30/22
Crypto Coven,709,3/31/22
Crypto Coven,639,4/1/22
Crypto Coven,621,4/2/22
Crypto Coven,659,4/3/22
Crypto Coven,663,4/4/22
Crypto Coven,583,4/5/22
Crypto Coven,538,4/6/22
Crypto Coven,635,4/7/22
Crypto Coven,721,4/8/22
Crypto Coven,631,4/9/22
Crypto Coven,539,4/10/22
Crypto Coven,595,4/11/22
Crypto Coven,515,4/12/22
Crypto Coven,515,4/13/22
Crypto Coven,511,4/14/22
Crypto Coven,579,4/15/22
Crypto Coven,503,4/16/22
Crypto Coven,510,4/17/22
Crypto Coven,629,4/18/22
Crypto Coven,588,4/19/22
Crypto Coven,560,4/20/22
Crypto Coven,628,4/21/22
Crypto Coven,526,4/22/22
Crypto Coven,516,4/23/22
Crypto Coven,530,4/24/22
Crypto Coven,436,4/25/22
Crypto Coven,413,4/26/22
Crypto Coven,402,4/27/22
Crypto Coven,380,4/28/22
Crypto Coven,361,4/29/22
Crypto Coven,329,4/30/22
Crypto Coven,274,5/1/22
Crypto Coven,314,5/2/22
Crypto Coven,318,5/3/22
Crypto Coven,330,5/4/22
Crypto Coven,333,5/5/22
Crypto Coven,372,5/6/22
Crypto Coven,436,5/7/22
Crypto Coven,620,5/8/22
Crypto Coven,417,5/9/22
Crypto Coven,414,5/10/22
Crypto Coven,366,5/11/22
Crypto Coven,350,5/12/22
Crypto Coven,312,5/13/22
Crypto Coven,382,5/14/22
Crypto Coven,368,5/15/22
Crypto Coven,298,5/16/22
Crypto Coven,331,5/17/22
Crypto Coven,345,5/18/22
Crypto Coven,321,5/19/22
Crypto Coven,302,5/20/22
Crypto Coven,318,5/21/22
Crypto Coven,205,5/22/22
